Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
aveda,Aveda,Free Full Size Gift,2020-05-29,28,37,11
aveda,Aveda,Free Full Size Gift,2020-05-22,11,19,8
aveda,Aveda,25% Off,2020-05-21,179,260,129
aveda,Nordstrom,25% Off,2020-05-15,24,48,50
aveda,Aveda,Free Full Size Gift,2020-05-12,5,12,3
aveda,Aveda,Free Full Size Gift,2020-05-07,6,17,7
aveda,Aveda,Free Gift,2020-04-30,1,5,2
aveda,Aveda,Free 4-Pic Gift,2020-04-17,,7,6
aveda,Aveda,Free Gift,2020-04-15,,8,4
aveda,Aveda,Free full-size hair repair,2020-04-09,2,5,2
aveda,Aveda,Free Gift,2020-04-08,,5,3
aveda,Aveda,Free Gift,2020-04-02,2,4,1
aveda,Aveda,5-Piece Gift,2020-04-01,,6,4
aveda,Aveda,20% Off+ 6-Piece Gift,2020-03-27,7,28,15
aveda,Aveda,20% Off,2020-03-21,,11,5
aveda,Aveda,Free Gift,2020-03-17,5,6,3
aveda,Aveda,Free Gift,2020-03-04,7,28,8
aveda,Aveda,15% Off,2020-02-27,,7,5
aveda,Aveda,Free 6-Piece Gift,2020-02-22,1,9,3
aveda,Aveda,Free Full-Size Gift,2020-02-15,,3,1
aveda,Aveda,Free Gift or $20 Off $60,2020-02-12,1,13,3
aveda,Aveda,Free Gift Including Full-Size,2020-01-31,,4,3
aveda,Aveda,Free 2-Piece Gift with Purchase $60,2020-01-16,,10,2
aveda,Aveda,Free Full-Size Gift,2020-01-04,,20,6
aveda,Aveda,As Low As $33.6 + 5Piece Gift,2019-12-25,8,6,13
aveda,Aveda,20% Off + Free Full-Size Gift,2019-12-01,4,42,60
aveda,Aveda,20% off,2019-11-28,13,71,13
aveda,Aveda,Free Full Size Gift,2019-11-16,,11,30
aveda,Aveda,11% off + Free Wooden Paddle Brush,2019-11-12,7,67,13
aveda,Aveda,Free Full-Size Masque,2019-11-01,4,7,2
aveda,Nordstrom,Up to 25-pc Gift Set,2019-10-18,3,29,12
aveda,Aveda,Free Full Size Gfit,2019-10-12,3,12,43
aveda,Gilt City,$25 Off,2019-10-08,5,29,13
aveda,Gilt,$25 Off Order of $75 + Free Gift ($18 value),2019-09-24,6,16,21
aveda,Aveda,Free Full-Size Lip,2019-08-16,,11,4
aveda,Aveda,Free Full Size Texture Tonic with $50 Orders,2019-08-02,,6,3
aveda,Aveda,Free Full-Size Body Wash,2019-07-26,3,8,
aveda,Aveda,20% Off,2019-06-26,1,8,6
aveda,Aveda,Summer Essentials Kit ($122 value) for $45,2019-06-21,,18,3
